timestep,mx_0,mx_1,my_0,my_1,dist,status,tension,gradient
82,0.5955,0.7311,0.8326,0.7311,0.2371,CLOSED,0.0005,-0.0040
83,0.5953,0.7311,0.8290,0.7311,0.2338,CLOSED,0.0004,-0.0033
84,0.5874,0.7311,0.8209,0.7311,0.2335,CLOSED,0.0004,-0.0003
85,0.5861,0.7311,0.8166,0.7311,0.2305,CLOSED,0.0004,-0.0030
86,0.5792,0.7311,0.8088,0.7311,0.2296,CLOSED,0.0003,-0.0009
87,0.5780,0.7311,0.8046,0.7311,0.2265,CLOSED,0.0003,-0.0031
88,0.5818,0.7311,0.8035,0.7311,0.2217,CLOSED,0.0003,-0.0048
89,0.5776,0.7311,0.7973,0.7311,0.2197,META_REVIEW,0.0004,-0.0020
90,0.5971,0.7311,0.8589,0.7311,0.2618,CLOSED,0.0004,0.0421
91,0.5921,0.7311,0.8529,0.7311,0.2608,CLOSED,0.0003,-0.0011
92,0.6008,0.7311,0.8539,0.7311,0.2532,CLOSED,0.0003,-0.0076
93,0.5927,0.7311,0.8462,0.7311,0.2535,CLOSED,0.0003,0.0003
94,0.5910,0.7311,0.8418,0.7311,0.2508,CLOSED,0.0003,-0.0027
95,0.5944,0.7311,0.8401,0.7311,0.2458,CLOSED,0.0002,-0.0050
96,0.5976,0.7311,0.8385,0.7311,0.2409,CLOSED,0.0002,-0.0049
97,0.6019,0.7311,0.8375,0.7311,0.2356,CLOSED,0.0002,-0.0052
98,0.6013,0.7311,0.8338,0.7311,0.2325,CLOSED,0.0002,-0.0031
99,0.5938,0.7311,0.8260,0.7311,0.2322,CLOSED,0.0002,-0.0003
100,0.6032,0.7311,0.8282,0.7311,0.2251,CLOSED,0.0002,-0.0072
